name,released_at,genre,streaming_on,country,type,content_rating,imdb_rating,number_of_seasons,cast_and_crew
Return to the Wild: The Chris McCandless Story,2014-11-25,"Documentary, Action & Adventure","Hoopla, Prime Video",America,Movie,7+ (PG),6.6/10,,"Ann Johnson Prum-director, Jeanmarie Condon-director, Carine McCandless-actor, Walt McCandless-actor, Billie McCandless-actor, Sean Penn-actor, Wayne Westerberg-actor, Jan Burres-actor, Shelly McCandless-actor, Shawna Downing-actor, Ann Johnson Prum-actor, Jeanmarie Condon-actor, Ann Johnson Prum-author, Jeanmarie Condon-author"
Hoop Soldiers,2001-07-24,"Action & Adventure, Sport","Free Services, Prime Video",,Movie,18+ (R),5.3/10,,"Chris Rogers-director, Mike Acquisto-Gotti-actor, Byron Browne-actor, Angelica Frost-actor, Chris Hopkins-actor, A.J. Jarrell-actor, Manny Llanez-actor, Derek IaKeith Martin-actor, Kajuan Mitchell-actor, Terrence J. Rogers-actor, Jose Rosete-actor, Chris Rogers-author"
I cormorani,2016-12-05,Action & Adventure,"Free Services, Prime Video",Italy,Movie,,5.7/10,,"Fabio Bobbio-director, Samuele Bogni-actor, Matteo Turri-actor, Valentina Padovan-actor, Lorenzo Bruno-actor, Samuele Ceresa-actor, Valter Giachetto Meno-actor, Giuseppe Menuni-actor, Andrea Sconfienza-actor, Fabio Cavenaghi-actor, Giuditta Tarantelli-actor, Mirko Locatelli-actor, Paolo Cavenaghi-actor, Mirko Locatelli-actor, Fabio Bobbio-author, Paolo Spaccamonti-actor, Ramon Moro-actor"
Some Kind of a Nut,1969-09-14,Comedy,"Prime Video, Prime Video",America,Movie,,4.3/10,,"Garson Kanin-director, Dick Van Dyke-actor, Angie Dickinson-actor, Rosemary Forsyth-actor, Zohra Lampert-actor, Elliott Reid-actor, Steve Roland-actor, Dennis King-actor, Peter Turgeon-actor, Pippa Scott-actor, Heywood Hale Broun-actor, Peter Brocco-actor, Benny Baker-actor, Robert Ito-actor, David Doyle-actor, Carole Shelley-actor, Howard Hesseman-actor, Jennifer O'Neill-actor, Desiree Paterson-actor, Melba Moore-actor, Nancy Wickwire-actor, Tanya Lemani George-actor, Walter Mirisch-actor, Garson Kanin-author"
"Murder, She Baked: A Peach Cobbler Mystery",2016-01-10,"Drama, Mystery",Prime Video ,,Movie,All (G),6.8/10,,"Kristoffer Tabori-director, Alison Sweeney-actor, Cameron Mathison-actor, Barbara Niven-actor, Gabriel Hogan-actor, Lisa Durupt-actor, Michelle Harrison-actor, Roark Critchlow-actor, Garry Chalk-actor, Toby Levins-actor, Juliana Wimbles-actor, Anne Marie DeLuise-actor, Marion Eisman-actor, Rebecca Toolan-actor, Ty Olsson-actor, Jillian Fargey-actor, Candice May Langlois-actor, Julie Lynn-Mortensen-actor, Clare Filipow-actor, Sian Sladen-actor, Michael Meneer-actor, Harvey Kahn-actor, Alison Sweeney-actor, Barbara Lieberman-actor"
Intense Battles Reloaded,2021-07-01,"Action & Adventure, Crime",Prime Video ,,Movie,,4.1/10,,
The Darkness Outside,2022-01-27,"Drama, Horror","Free Services, Prime Video",America,Movie,,4.8/10,,"Ryan Callaway-director, Briana Aceti-actor, Haley Walter-actor, Breanna Engle-actor, Jenna Elise-actor, Macy Rubin-actor, Genevieve Tarrant-actor, Rob Nicholson-actor"
Runner,2017-03-02,"Drama, Action & Adventure",Prime Video ,,Movie,,5.5/10,,
Ghost Bait,2019-04-04,Horror,"Discovery+, Prime Video",,TV Show,,,1,
Living Large Hollywood,2015-01-01,Reality,Free Services,,TV Show,,,1,
Hitler: A Journey Through His World,2016-01-01,,Free Services,,Movie,,,,
LEGO DC Comics Super Heroes: Justice League - Gotham City Breakout,2016-06-21,"Comedy, Animation","HBO MAX, Prime Video",America,Movie,,6/10,,"Matt Peters-director, Melchior Zwyer-director, Sarah Hyland-actor, Nolan North-actor, Troy Baker-actor, Tara Strong-actor, John DiMaggio-actor, Tom Kenny-actor, Will Friedle-actor, Grey DeLisle-actor, Greg Cipes-actor, Khary Payton-actor, Scott Menville-actor, Amy Hill-actor, Hynden Walch-actor, Vanessa Marshall-actor, Jason Spisak-actor, Eric Bauza-actor, James Krieg-author, Tim Kelly-actor"
Lez Bomb,2018-11-09,"Drama, LGBTQ","Free Services, Prime Video",America,Movie,18+ (R),5.1/10,,"Jenna Laurenzo-director, Jenna Laurenzo-actor, Caitlin Mehner-actor, Brandon Micheal Hall-actor, Steve Guttenberg-actor, Elaine Hendrix-actor, Deirdre O'Connell-actor, Rob Moran-actor, Davram Stiefler-actor, A.B. Cassidy-actor, Jordyn DiNatale-actor, Bruce Dern-actor, Kevin Pollak-actor, Cloris Leachman-actor, Dorothi Fox-actor, Sondra James-actor, Lana Yoo-actor, Joe Carpenter-actor, Martin Sprock-actor, Jennifer Ruffalo-actor, Kevin Kane-actor, Adeel Ahmed-actor, Jenna Laurenzo-actor, Martin Sprock-actor"
Rocío y Rafael tuvieron su primera gran crisis por culpa de Alonso,2019-03-18,Drama,Prime Video ,,Movie,,,,
Sade: Bring Me Home – Live 2011,2011-05-21,Musical,Prime Video ,America,Movie,,8.5/10,,"Sophie Muller-director, Sade-actor, Andrew Hale-actor, Stuart Matthewman-actor, Paul S. Denman-actor, Leroy Osbourne-actor, Ryan Waters-actor, Tony Momrelle-actor, Pete Lewinson-actor, Karl Vanden Bossche-actor, Grant Jue-actor, Roger Davies-actor"
Behind the Power,2013-10-04,"Drama, Mystery",Prime Video ,Mexico,Movie,18+ (R),6/10,,"Javier Colinas-director, Luis Arrieta-actor, Paola Nuñez-actor, Hector Kotsifakis-actor, Lucero Lander-actor, Rubén Pablos-actor, Jorge de Marín-actor, Luis Arrieta-author"
Shopgirl,2005-10-21,"Drama, Romance","Hoopla, Prime Video",America,Movie,18+ (R),6.3/10,,"Anand Tucker-director, Steve Martin-actor, Claire Danes-actor, Jason Schwartzman-actor, Bridgette Wilson-actor, Sam Bottoms-actor, Frances Conroy-actor, Rebecca Pidgeon-actor, Gina Doctor-actor, Samantha Shelton-actor, Clyde Kusatsu-actor, Romy Rosemont-actor, Joshua Snyder-actor, Rachel Nichols-actor, Shane Edelman-actor, Emily Kuroda-actor, Jayzel Samonte-actor, Mark Kozelek-actor, Dana Schick-actor, John Fedevich-actor, Zak Sally-actor, Ray Buktenica-actor, Ashok Amritraj-actor, Jon Jashni-actor"
Incarnate,2016-12-01,"Horror, Thriller","Netflix, Prime Video",America,Movie,13+ (PG-13),5.2/10,,"Brad Peyton-director, Aaron Eckhart-actor, Natalija Nogulich-actor, Keir O'Donnell-actor, Catalina Sandino Moreno-actor, Carice van Houten-actor, Matt Nable-actor, Mark Henry-actor, Breanne Hill-actor, Karolina Wydra-actor, Vera Miao-actor, Emily Jackson-actor, Paul Vincent O'Connor-actor, Vanya Asher-actor, M.D. Walton-actor, Tomas Arana-actor, Emjay Anthony-actor, David Mazouz-actor, John Pirruccello-actor, Petra Sprecher-actor, Carlease Burke-actor, Mark Steger-actor, Jason Blum-actor, Michael Seitzman-actor"
Frank Sinatra: They Were Very Good Years,1997-01-01,Documentary,"Free Services, Prime Video",,TV Show,,,1,
Nobody Knows Anything!,2004-08-24,"Drama, Comedy","Free Services, Prime Video",America,Movie,18+ (R),3.1/10,,"William Tannen-director, Alanna Ubach-actor, Michael Lerner-actor, Mike Myers-actor, Janeane Garofalo-actor, Kristen Johnston-actor, Margaret Cho-actor, Robert Englund-actor, Ed Lauter-actor, Ryan Stiles-actor, Wayne Rogers-actor, Richard Kind-actor, Fred Willard-actor, Mary Kay Place-actor, Tim Meadows-actor, Virginia Madsen-actor, David Pasquesi-actor, Mitch Rouse-actor, Ben Stiller-actor, Stephen Colbert-actor, Charles Esten-actor, Alan Blumenfeld-actor, Brad Korzen-actor, Wayne Rogers-actor"
Cop Hunt,2016-11-24,"Action & Adventure, Crime","Free Services, Prime Video",Hungary,Movie,,3.7/10,,"Jozsef Kovalik-director, Zsolt Anger-actor, Kamarás Iván-actor, Oszkár Gáti-actor, Ganxsta Zolee-actor, Győző Szabó-actor, Károly Gesztesi-actor, Anna Götz-actor, Norbert Kovalik-actor, Veronika Madár-actor, Zsolt Nagy-actor, Dalma Nyitrai-actor, Zsolt Páll-actor, Gábor Salinger-actor, László Seprenyi-actor, Máté Gesztesi-actor, Ralph Berkin-actor, Zsolt Somogyi-actor, Jozsef Kovalik-author"
This Ain't No Mouse Music!,2014-09-26,Documentary,Prime Video ,America,Movie,,7.3/10,,"Chris Simon-director, Maureen Gosling-director, Ry Cooder-actor, Lightnin' Hopkins-actor, Michael Doucet-actor, Flaco Jiménez-actor, Taj Mahal-actor, Country Joe McDonald-actor, Bonnie Raitt-actor, Wilson Savoy-actor, Chris Strachwitz-actor"
Manhattan Night of Murder,1965-11-24,"Crime, Thriller",Prime Video ,Germany,Movie,,5.5/10,,"Harald Philipp-director, George Nader-actor, Heinz Weiss-actor, Monika Grimm-actor, Slobodan Dimitrijević-actor, Peter Kuiper-actor, Sigurd Fitzek-actor, Allen Pinson-actor, Elke Neidhart-actor, Richard Münch-actor, Henri Cogan-actor, Paul Müller-actor, Willy Semmelrogge-actor, Walter Bluhm-actor, Dirk Dautzenberg-actor, Uwe Reichmeister-actor, Silvia Solar-actor, Heinz Willeg-actor, Herbert Reinecker-author, K.B. Leder-author, Peter Thomas-actor"
Gold Rush,2010-12-03,Reality,"Free Services, Prime Video",,TV Show,7+ (TV-PG),7.2/10,12,"Parker Schnabel-actor, Chris Doumitt-actor, Paul Christie-actor, Monica Beets-actor, Kevin Beets-actor, Minnie Beets-actor, Mike Beets-actor, Len Hoekstra-actor, Rick Ness-actor, Mitch Blaschke-actor, Andy Spinks-actor, Dave Turin-actor, Dustin Hurt-actor, Fred Dodge-actor, Fred Hurt-actor, Gene Cheeseman-actor, Greg Remsburg-actor, Jack Hoffman-actor, James Harness-actor, Jimmy Dorsey-actor, Jim Thurber-actor, John Schnabel-actor, Todd Hoffman-actor, Tony Beets-actor"
The Truth About Charlie,2002-10-25,"Mystery, Thriller","Starz, Prime Video",Germany,Movie,13+ (PG-13),4.7/10,,"Jonathan Demme-director, Mark Wahlberg-actor, Thandiwe Newton-actor, Tim Robbins-actor, Christine Boisson-actor, LisaGay Hamilton-actor, Park Joong-hoon-actor, Ted Levine-actor, Stephen Dillane-actor, Sakina Jaffrey-actor, Simon Abkarian-actor, Magali Noël-actor, Agnès Varda-actor, Charles Aznavour-actor, Olivier Broche-actor, Anna Karina-actor, Philippe Katerine-actor, Philippe Duquesne-actor, Kenneth Utt-actor, Sotigui Kouyaté-actor, Paula Moore-actor, Françoise Bertin-actor, Edward Saxon-actor, Ilona Herzberg-actor"
Mischievous Kiss: Love in Tokyo,2013-03-29,"Comedy, Drama","Free Services, Prime Video",Japan,TV Show,,7.6/10,2,"Honoka Yahagi-actor, Yuuki Furukawa-actor, Yuki Yamada-actor, Nanami Fujimoto-actor, Sogen Tanaka-actor, Yuga Aizawa-actor, Yoji Tanaka-actor, Imoaraizaka Kakaricho-actor, Tomomi Nishimura-actor, Kasumi Yamaya-actor, Kanna Moriya-actor, Masaki Kaji-actor, Yoshiaki Miyagi-actor, Noémie Nakai-actor, Toshi Takeuchi-actor, 堀井新太-actor, Mirai Suzuki-actor, Risako Ito-actor, Julia Kawakami-actor, Ayu Matsuura-actor, Karin Ono-actor, Mayuko Okamoto-actor, Satoshi Kusaka-actor, Seiichi Ono-actor"
Sulthan,2021-04-02,"Romance, Action & Adventure",Prime Video ,India,Movie,18+ (R),6.2/10,,"Bhagyaraj Kannan-director, Karthi-actor, Rashmika Mandanna-actor, Ramachandra Raju-actor, Nawab Shah-actor, Lal-actor, Napoleon-actor, Abhirami Gopikumar-actor, Yogi Babu-actor, Hareesh Peradi-actor, Singampuli-actor, Ponvannan-actor, G. Marimuthu-actor, Giant Zanjeer-actor, Sathish-actor, Arjai-actor, Sentrayan-actor, M. S. Bhaskar-actor, Senthikumari-actor, Rama-actor, Mayilsamy-actor, Pandian-actor, S. R. Prabhu-actor, S. R. Prakashbabu-actor"
The Engineering That Built the World,2021-10-10,"History, Documentary","Philo, Prime Video",,TV Show,,7.6/10,1,
Listopad: A Memory of the Velvet Revolution,2014-10-24,"Action & Adventure, Comedy",Prime Video ,Czechia,Movie,13+ (PG-13),6.5/10,,"Gary Griffin-director, Igor Bareš-actor, Filip Cíl-actor, Petr Kantor-actor, Anita Krausová-actor, David Novotný-actor, Pavel Richta-actor, Filip Tomsa-actor, Klára Jandová-actor, David Rauch-actor, Arnošt Lustig-author"
Dragons: Race to the Edge,2015-06-26,"Comedy, Family","Netflix, Prime Video",America,TV Show,7+ (TV-PG),8.2/10,6,"Jay Baruchel-actor, America Ferrera-actor, Zack Pearlman-actor, Christopher Mintz-Plasse-actor, Andree Vermeulen-actor, T. J. Miller-actor, Chad Hammes-actor, Art Brown-actor, Douglas Sloan-actor"
AK47 vs M16: A Deadly Military Weapons Duel,,,"Free Services, Prime Video",,Movie,,,,
Two Weddings and a Funeral,2012-06-21,"Comedy, LGBTQ",Philo,South Korea,Movie,,6.2/10,,"Kim Jho Gwang-soo-director, Kim Dong-yoon-actor, Song Yong-Jin-actor, Ryu Hyun-kyung-actor, Jung Ae-yeun-actor, Park Jung-pyo-actor, Park Su-young-actor, Kim Joon-bum-actor, Lee Seung-joon-actor, Choi Il-hwa-actor, Yoo Yeon-seok-actor, Jeong In-gi-actor, Lee Mun-sik-actor, Kim Jung-young-actor, Lee Ji-youn-actor, Kim Yeong-don-actor, Kim Yoon-sin-author, Park Hae-young-author, Kim Dong-wook-actor"
The Caine Mutiny,1954-06-23,Drama,Prime Video ,America,Movie,,7.7/10,,"Edward Dmytryk-director, Humphrey Bogart-actor, José Ferrer-actor, Van Johnson-actor, Fred MacMurray-actor, Robert Francis-actor, May Wynn-actor, Tom Tully-actor, E.G. Marshall-actor, Arthur Franz-actor, Lee Marvin-actor, Warner Anderson-actor, Claude Akins-actor, Katherine Warren-actor, Jerry Paris-actor, Steve Brodie-actor, Sam Harris-actor, Bert Stevens-actor, Don Anderson-actor, Herbert Anderson-actor, Joe Haworth-actor, James Best-actor, Stanley Kramer-actor, Herman Wouk-author"
The Red Tent,1969-12-23,"Fantasy, Action & Adventure",Prime Video ,Italy,Movie,All (G),6.9/10,,"Mikhail Kalatozov-director, Peter Finch-actor, Sean Connery-actor, Claudia Cardinale-actor, Hardy Krüger-actor, Eduard Martsevich-actor, Grigori Gaj-actor, Nikita Mikhalkov-actor, Luigi Vannucchi-actor, Mario Adorf-actor, Donatas Banionis-actor, Massimo Girotti-actor, Yuriy Solomin-actor, Otar Koberidze-actor, Boris Khmelnitsky-actor, Yuri Vizbor-actor, Vladimir Smirnov-actor, Alberto Cavallone-author, Ennio De Concini-author, Richard DeLong Adams-author, Robert Bolt-author"
La Cucaracha,1998-05-14,"Crime, Thriller","Free Services, Prime Video",,Movie,18+ (R),5.9/10,,"Jack Perez-director, Eric Roberts-actor, Joaquim de Almeida-actor, Victor Rivers-actor, James McManus-actor, Tara Crespo-actor, Michael Peña-actor, James McManus-author"
Crime Shock: Asia Exposed,2013-01-01,,Hulu,,TV Show,,,1,
Anne-Marie,1936-03-06,Drama,The Criterion Channel,France,Movie,,6/10,,"Raymond Bernard-director, Annabella-actor, Pierre Richard-Willm-actor, Paul Azaïs-actor, Pierre Labry-actor, Abel Jacquin-actor, Christian Gérard-actor, Jean Murat-actor, Valentine Camax-actor, André Carnège-actor, Enrico Glori-actor, Jean Marconi-actor, Odette Talazac-actor, Antoine de Saint-Exupéry-author"
Behave Yourself!,1951-09-22,"Crime, Comedy","Free Services, Prime Video",America,Movie,,5.5/10,,"George Beck-director, Farley Granger-actor, Shelley Winters-actor, William Demarest-actor, Francis L. Sullivan-actor, Margalo Gillmore-actor, Lon Chaney Jr.-actor, Hans Conried-actor, Elisha Cook Jr.-actor, Glenn Anders-actor, Allen Jenkins-actor, Sheldon Leonard-actor, Marvin Kaplan-actor, Henry Corden-actor, Don Beddoe-actor, Kathleen Freeman-actor, Herb Vigran-actor, King Donovan-actor, George Beck-author"
Bully,2011-04-23,"Drama, Documentary","Netflix, Prime Video",America,Movie,13+ (PG-13),7.3/10,,"Lee Hirsch-director, Cynthia Lowen-actor, Lee Hirsch-actor, Cindy Waitt-actor, Cynthia Lowen-author, Lee Hirsch-author"
A Turtle's Tale: Sammy's Adventures,2010-08-03,"Animation, Action & Adventure","Free Services, Prime Video",Belgium,Movie,All (G),6/10,,"Ben Stassen-director, Yuri Lowenthal-actor, Gemma Arterton-actor, Isabelle Fuhrman-actor, Melanie Griffith-actor, Tim Curry-actor, John Hurt-actor, Robert Sheehan-actor, Kathy Griffin-actor, Jenny McCarthy-Wahlberg-actor, Gigi Perreau-actor, Eric Unger-actor, Kierstin Koppel-actor, Pat Carroll-actor, Charlie Adler-actor, Cam Clarke-actor, Alan Shearman-actor, Scott Menville-actor, W.K. Stratton-actor, Pamela Adlon-actor, Tim Dadabo-actor, Al Rodrigo-actor, Ben Stassen-actor, Caroline Van Iseghem-actor"
Fall In Love,2021-11-09,"History, Drama",Prime Video ,,TV Show,,8.9/10,1,"Chen Xingxu-actor, Zhang Jingyi-actor, Lin Yanjun-actor, Maggie Chen-actor, Ma Yue-actor, Dai Yaqi-actor, Shao Weitong-actor, Huo Zhengyan-actor, Xiu Qing-actor, Zheng Xiaoning-actor"
Bride and Prejudice: Forbidden Love,2020-02-24,,Free Services,,TV Show,,,1,
Fivestar Training with Wayne Rooney: Finishing,2014-05-27,,"Free Services, Prime Video",,Movie,,,,
Westbound,1959-04-25,,Prime Video ,America,Movie,,6.5/10,,"Budd Boetticher-director, Randolph Scott-actor, Virginia Mayo-actor, Karen Steele-actor, Michael Dante-actor, Andrew Duggan-actor, Michael Pate-actor, Wally Brown-actor, John Daheim-actor, Walter Barnes-actor, Henry Blanke-actor, Berne Giler-author"
Nosferatu.com,2016-11-20,"Crime, Horror",Prime Video ,France,Movie,,4/10,,"Julien Dève-director, Anthony Lefebvre-actor, Loïc Menage-actor, Adrien Leboulanger-actor, Leslie Fleutry-actor, Emmanuel Gost-actor, Michel Anthunes-actor, Mathieu Farcy-actor, Claire Lemetter-actor, Romain Berhault-actor, Alexis Iegay-actor, Amélie Douay-actor, Marc Prieur-actor, Julien fremont-actor, Lucille Gimonet-actor, Benjamin Chapelet-actor, Anne-Sophie Galletout-actor, Charles Sader-actor, Magdalena Carpentier-actor, Matthieu Samelor-actor, Jimmy Von Dräsilheim-actor, Rémi Gérard-actor, Gautier Cazenave-actor, Mickael Penisson-actor"
Candy Stripe Nurses,1974-05-01,"Mystery, Thriller","Free Services, Prime Video",America,Movie,18+ (R),4.6/10,,"Alan Holleb-director, Candice Rialson-actor, Robin Mattson-actor, María Rojo-actor, Roger Cruz-actor, Rod Haase-actor, Richard Gates-actor, Don Keefer-actor, Kendrew Lascelles-actor, Michael Ross Verona-actor, Kimberly Hyde-actor, Elana Casey-actor, john hudson-actor, Ruth Warshawsky-actor, June Christopher-actor, James Espinoza-actor, Al Alu-actor, Frank Lugo-actor, Ray Galvin-actor, Tom Baker-actor, Alma Beltran-actor, Bill Erwin-actor, Julie Corman-actor, Roger Corman-actor"
How to Train Your Dragon,2010-03-18,"Animation, Fantasy","Free Services, Prime Video",America,Movie,7+ (PG),8.1/10,,"Chris Sanders-director, Dean DeBlois-director, Jay Baruchel-actor, Gerard Butler-actor, Craig Ferguson-actor, America Ferrera-actor, Jonah Hill-actor, Christopher Mintz-Plasse-actor, T. J. Miller-actor, Kristen Wiig-actor, David Tennant-actor, Ashley Jensen-actor, Robin Atkin Downes-actor, Philip McGrade-actor, Kieron Elliott-actor, Bonnie Arnold-actor, Kristine Belson-actor, Tim Johnson-actor, Chris Sanders-author, Cressida Cowell-author, Dean DeBlois-author, Will Davies-author, John Powell-actor"
My Friend The Devil,1922-11-19,"Romance, Drama",Prime Video ,America,Movie,,,,"Harry F. Millarde-director, Charles Richman-actor, Peggy Shaw-actor, William H. Tooker-actor, Myrtle Stewart-actor, Adolph Milar-actor, Barbara Castleton-actor, Harry F. Millarde-actor, Georges Ohnet-author"
Unlocking the Cage,2016-01-25,"Documentary, Drama",HBO,America,Movie,16+,7/10,,"Chris Hegedus-director, D. A. Pennebaker-director, Chris Hegedus-actor, Rosadel Varela-actor, Frazer Pennebaker-actor, James Lavino-actor"
Target: Philadelphia,2019-02-02,Documentary,Free Services,,Movie,,,,Sean Slater-director
G3 Live in Concert,1997-08-08,Documentary,Prime Video ,,Movie,,8.6/10,,
Sinister 2,2015-08-19,"Horror, Mystery","Netflix, Prime Video",Canada,Movie,18+ (R),5.3/10,,"Ciarán Foy-director, James Ransone-actor, Shannyn Sossamon-actor, Robert Daniel Sloan-actor, Dartanian Sloan-actor, Lea Coco-actor, Tate Ellington-actor, John Beasley-actor, Lucas Jade Zumann-actor, Jaden Klein-actor, Laila Haley-actor, Caden M. Fritz-actor, Olivia Rainey-actor, Nicholas King-actor, Delphine Pontvieux-actor, Michael B. Woods-actor, Tory O. Davis-actor, Howie Johnson-actor, Grace Holuby-actor, John Francis Mountain-actor, Nicole Santini-actor, Stephen Varga-actor, Brian Kavanaugh-Jones-actor, Jason Blum-actor"
Sisterhood of the Red Garter,2015-09-01,"Drama, Comedy",Prime Video ,,Movie,,6.7/10,,
Mr. Drug Dealer,2008-11-01,"Action & Adventure, Mystery",Free Services,,Movie,,6.4/10,,"J. Xavier Velasco-director, Diana Golden-actor, Guillermo Navarrete-actor, Ignacio Armenta-actor, Luis Zepeda-actor, Fernando C. Finck-author"
Chip 'n' Dale: Park Life,2021-07-28,"Animation, Action & Adventure",Disney+,,TV Show,All (TV-G),5.7/10,1,"Matthew Géczy-actor, Kaycie Chase-actor, Bill Farmer-actor, Sylvain Caruso-actor, David Gasman-actor, Lee Delong-actor, Marc Du Pontavice-actor, Vincent Artaud-actor"
Mujer de cabaret,1991-04-11,"Action & Adventure, Drama",Free Services,Mexico,Movie,,5.7/10,,"Julián Pastor-director, Maribel Guardia-actor, Leonardo Daniel-actor, Isaura Espinoza-actor, Roberto Ballesteros-actor, Pedro Weber-actor, Hugo Stiglitz-actor, Diana Golden-actor, Diana Herrera-actor, Azela Robinson-actor, Myrrah Saavedra-actor, Malena Doria-actor, Lupita Adriana-actor, Abraham Cherem-actor, Carlos Vasallo-actor, Abraham Cherem-author, Alejandro Licona-author, Alejandro Giacomán-actor"
Little Nicky,2000-11-10,"Romance, Comedy","Free Services, Prime Video",America,Movie,13+ (PG-13),5.3/10,,"Steven Brill-director, Adam Sandler-actor, Patricia Arquette-actor, Harvey Keitel-actor, Rhys Ifans-actor, Tom 'Tiny' Lister Jr.-actor, Rodney Dangerfield-actor, Allen Covert-actor, Peter Dante-actor, Jonathan Loughran-actor, Robert Smigel-actor, Reese Witherspoon-actor, Dana Carvey-actor, Jon Lovitz-actor, Kevin Nealon-actor, Michael McKean-actor, Quentin Tarantino-actor, Blake Clark-actor, Rob Schneider-actor, John Witherspoon-actor, Clint Howard-actor, Leah Lail-actor, Jack Giarraputo-actor, Robert Simonds-actor"
Train,2008-10-16,"Horror, Thriller","Free Services, Prime Video",America,Movie,18+ (R),4.7/10,,"Gideon Raff-director, Thora Birch-actor, Gideon Emery-actor, Gloria Votsis-actor, Derek Magyar-actor, Todd Jensen-actor, Mike Straub-actor, Matthew Tibbs-actor, Boaz Davidson-actor, Danny Lerner-actor, Les Weldon-actor, Gideon Raff-author"
The Adventurers,1970-03-25,"Drama, Action & Adventure",Prime Video ,America,Movie,18+ (R),5.4/10,,"Lewis Gilbert-director, Charles Aznavour-actor, Alan Badel-actor, Candice Bergen-actor, Thommy Berggren-actor, Delia Boccardo-actor, Ernest Borgnine-actor, Rossano Brazzi-actor, Olivia de Havilland-actor, Bekim Fehmiu-actor, Anna Moffo-actor, Fernando Rey-actor, Leigh Taylor-Young-actor, Yolande Donlan-actor, John Ireland-actor, Jorge Martínez de Hoyos-actor, Christian Roberts-actor, Angela Scoular-actor, Sydney Tafler-actor, Yorgo Voyagis-actor, Milena Vukotić-actor, Loris Loddi-actor, Lewis Gilbert-actor, Harold Robbins-author"
The Sum of All Fears,2002-05-31,"Thriller, Drama","Paramount+, Prime Video",America,Movie,13+ (PG-13),6.4/10,,"Phil Alden Robinson-director, Ben Affleck-actor, Morgan Freeman-actor, James Cromwell-actor, Liev Schreiber-actor, Bridget Moynahan-actor, Alan Bates-actor, Ciarán Hinds-actor, Philip Baker Hall-actor, Ron Rifkin-actor, Bruce McGill-actor, Colm Feore-actor, Josef Sommer-actor, Ken Jenkins-actor, Michael Byrne-actor, John Beasley-actor, Jamie Harrold-actor, Ian Mongrain-actor, Russell Bobbitt-actor, Al Vandecruys-actor, Richard Cohee-actor, Philip Pretten-actor, Mace Neufeld-actor, Stratton Leopold-actor"
Hardcase,1972-02-01,Science-Fiction,Prime Video ,America,Movie,,6.5/10,,"John Llewellyn Moxey-director, Clint Walker-actor, Stefanie Powers-actor, Pedro Armendáriz Jr.-actor, Alex Karras-actor, E. Lopez Rojas-actor, Luis Mirando-actor, Martin LaSalle-actor, Matthew Rapf-actor, Joseph Barbera-actor, William Hanna-actor, Harold Jack Bloom-author, Sam Rolfe-author, Patrick Williams-actor"
4 Quarters of Silence,2017-04-29,"Drama, Documentary",Prime Video ,,Movie,,,,
Boy Soldiers of World War 2,,"Documentary, History",Free Services,,Movie,,,,
Breakin' All the Rules,2004-05-14,"Romance, Comedy","Peacock Premium, Prime Video",America,Movie,13+ (PG-13),5.6/10,,"Daniel Taplitz-director, Jamie Foxx-actor, Morris Chestnut-actor, Jennifer Esposito-actor, Gabrielle Union-actor, Peter MacNicol-actor, Heather Headley-actor, Octavia Spencer-actor, Bianca Lawson-actor, Jill Ritchie-actor, Danny Comden-actor, Patrick Cranshaw-actor, Tate Taylor-actor, Bob Stephenson-actor, Faune Chambers-actor, Trae Ireland-actor, Gerald Emerick-actor, Samantha Nagel-actor, Jessica Landon-actor, Lisa Tornell-actor, Paddy Cullen-actor, Daniel Taplitz-author"
Episode dated 1 January 2010,2010-01-01,Family,Kanopy,,Movie,,,,
Server Sundaram,1964-12-11,"Romance, Comedy","Prime Video, Prime Video",India,Movie,,7.8/10,,"R. Krishnan-director, S. Panju-director, Nagesh-actor, K R Vijaya-actor, R. Muthuraman-actor, S. N. Lakshmi-actor, Major Sundarrajan-actor, Manorama-actor, S. Rama Rao-actor, Rama Prabha-actor, S. V. Ranga Rao-actor, T. M. Soundararajan-actor, M. S. Viswanathan-actor, S. Maruti Rao-actor, Vaali-actor, A. V. Meiyappan-actor, K. Balachander-author, M. S. Viswanathan-actor, T. K. Ramamoorthy-actor"
Deadline,2009-01-01,"Horror, Drama",Prime Video ,America,Movie,18+ (R),4.5/10,,"Sean McConville-director, Brittany Murphy-actor, Thora Birch-actor, Tammy Blanchard-actor, Marc Blucas-actor, Claudia Troll-actor, Roger Betterton-actor, Sean McConville-actor, Shireen M. Hashim-actor, Norman Abdul Halim-actor, Sean McConville-author, Carlos José Alvarez-actor"
The Reality of Truth,2016-07-19,Documentary,Prime Video ,,Movie,7+ (PG),6.2/10,,"Laurent Lévy-director, Mike Zapolin-director, Tim Booth-actor, Deepak Chopra-actor, Peter Coyote-actor, Ram Dass-actor, Serena Dyer-actor, Amazon John Easterling-actor, Foster Gamble-actor, Charles Grob-actor, John Hagelin-actor, Mark Victor Hansen-actor, Thomas Jane-actor, Gurmukh Kaur Khalsa-actor, David Lynch-actor, Drew Pinsky-actor, Michelle Rodriguez-actor, Marianne Williamson-actor, Mike Zapolin-author"
